year,ekey,akey,medal
1984,145,830,S
1988,145,830,
1988,416,831,
2012,436,832,G
2016,436,832,G
1992,303,833,
2016,191,834,
1984,150,835,
1988,220,835,
1988,150,835,
1992,220,835,
1992,150,835,
1996,220,835,
1996,150,835,
1908,33,836,
1908,244,836,
1908,229,836,
1908,256,836,
1908,127,836,
1912,404,836,
1912,33,836,G
1912,244,836,S
1912,229,836,
2016,616,837,B
1928,240,838,
1928,604,838,
1928,28,838,
1960,230,839,
1968,572,841,
1972,572,841,
1932,123,842,
1908,72,843,
1992,411,844,
1928,491,845,
2004,512,846,
2008,512,846,G
2012,512,846,G
2016,512,846,S
2004,479,847,
1952,344,848,
2008,230,849,
2012,541,849,G
1936,291,850,G
1960,217,851,S
1952,344,852,
1980,513,853,
1980,466,853,
1984,212,854,
1988,212,854,
1996,452,855,
1960,513,856,
1960,466,856,
1952,541,857,
2000,416,858,
1988,145,859,
1980,577,860,
1992,395,861,
1988,298,862,
1988,494,863,
1996,494,863,
2016,362,864,
1948,572,865,
1948,389,865,
1936,39,866,
1936,90,866,
2012,288,867,
2016,288,867,
2004,301,868,
2016,288,869,
1968,212,870,
1980,145,871,
1928,381,872,
1928,38,872,
2000,122,873,
2000,287,873,
1928,29,874,
1928,29,875,
1932,29,875,
1936,29,875,
1948,29,875,
2008,574,876,
2008,552,876,
1992,584,877,
1960,395,878,
1992,120,879,
1960,543,880,
1996,420,881,
1992,420,882,B
1996,420,882,
1964,420,883,
1968,420,883,
1920,265,884,B
1964,466,885,
1964,28,886,
1960,168,887,
1964,324,887,
1964,168,887,
1968,604,887,
1968,28,887,
1972,604,887,
1972,28,887,
2008,482,888,
2012,482,888,
1984,54,889,
1984,348,889,
1988,475,889,
1996,54,889,
1996,101,890,
1932,366,891,
2016,435,894,
1948,404,895,
1948,180,895,
2008,420,896,S
1984,28,897,
1996,415,898,
1988,158,899,
2016,54,900,
1988,492,901,
1992,492,901,
2016,78,902,
1996,83,903,
1996,234,903,
1996,194,903,
1996,371,903,
2000,194,903,
2000,371,903,
1956,167,905,
1980,456,906,
1980,385,906,
1984,71,907,
2008,420,908,S
1928,490,909,
1932,490,909,
1992,18,910,
2008,629,912,
1924,523,913,
1924,579,913,
1928,344,914,
1936,344,914,
2012,494,915,
2016,494,915,
2016,268,916,
1984,474,917,
1984,420,918,S
1988,420,918,S
1988,389,919,
1996,572,920,
2000,389,920,
1972,212,921,
1984,572,922,
1984,389,922,
1988,389,922,
1988,240,923,
1988,604,923,
1988,28,923,
1992,240,923,
1992,604,923,
1992,28,923,S
1996,240,923,
2016,365,924,
2012,616,925,G
2016,616,925,
1968,494,926,
1972,494,926,
1972,388,926,
2012,430,927,
1924,90,928,
1996,333,929,
2000,333,929,
2008,161,929,
1952,32,930,
2016,161,931,
1988,420,932,
1952,420,933,
1980,606,934,
1964,420,935,
1984,28,936,
1988,240,936,
1988,604,936,
1988,28,936,
1988,101,937,
2008,516,939,
1980,420,940,
1972,344,941,
2012,303,942,
2008,195,943,
2016,600,944,
1960,539,945,
1996,212,946,
2000,212,946,
1972,582,947,
1980,582,947,
1984,582,947,
1980,240,948,
1980,604,948,
1980,28,948,
1936,416,949,
1960,368,950,
1984,110,951,
1992,80,952,
1996,80,952,
1992,564,953,B
1996,564,953,G
2000,564,953,
2016,93,954,
1932,359,955,
1936,202,955,
1936,314,955,
1936,359,955,
1992,420,957,B
1964,389,958,
2012,416,959,
2000,301,960,
2016,404,961,
1952,575,962,G
1996,490,963,G
1948,344,964,S
1984,567,965,
1988,567,965,
1992,567,965,
1984,517,966,S
1988,517,966,
1992,517,966,
1960,513,967,
1960,466,967,S
1912,545,968,
1912,621,968,B
1924,79,968,
1964,584,969,
1960,461,970,
1960,210,970,
1960,146,970,
1960,551,970,
1960,431,970,
1960,147,970,
1964,51,971,
1964,515,971,
1912,23,972,
1936,585,973,
1936,160,973,B
1912,17,974,
1912,432,974,
1912,87,974,G
1908,259,975,B
2012,461,976,
2012,146,976,
2012,431,976,
2012,147,976,
1908,620,977,
1912,620,977,G
1912,30,977,G
1920,620,977,S
1920,30,977,
1924,620,977,
1924,30,977,
1912,79,978,
1920,79,978,
1976,285,979,
1976,339,979,
2008,234,980,G
2008,85,980,G
2012,234,980,B
2012,85,980,B
1988,323,981,
1996,323,981,
1976,582,982,
1980,519,983,
1980,301,984,
1960,513,985,
1924,29,986,
1928,29,986,
1996,416,987,
1960,539,988,
1964,193,988,
1960,324,989,
1960,28,989,
1984,444,990,
2000,240,991,
1948,66,994,
1928,404,996,
